Title,Director,Actors
Star Wars: The Last Jedi,Rian Johnson,Mark Hamill --- Carrie Fisher --- Adam Driver --- Daisy Ridley --- John Boyega --- Oscar Isaac --- Andy Serkis --- Lupita Nyong'o --- Domhnall Gleeson --- Anthony Daniels --- Gwendoline Christie --- Kelly Marie Tran --- Laura Dern --- Benicio del Toro --- Frank Oz --- Joonas Suotamo --- Peter Mayhew --- Billie Lourd --- Mike Quinn --- Tim Rose --- Tom Kane --- Amanda Lawrence --- Mark Lewis Jones --- Adrian Edmondson --- Dave Chapman --- Brian Herring --- Ben Schwartz --- Bill Hader --- Jimmy Vee --- Veronica Ngo --- Justin Theroux --- Lily Cole --- Joseph Gordon-Levitt --- Warwick Davis --- Gareth Edwards --- Gary Barlow --- Edgar Wright --- Joe Cornish --- Hermione Corfield --- Noah Segan --- Jamie Christopher --- Griffin Hamill --- Nathan Hamill --- Chelsea Hamill --- Prince William --- Prince Harry --- Hugh Skinner --- Paul Kasey --- Kate Dickie --- Ralph Ineson --- Kiran Shah --- Crystal Clarke --- Liang Yang --- Bern Collaço --- Andy Nyman --- Navin Chowdhry --- Shauna Macdonald --- Ellie Goulding --- ,
A Dog's Purpose,Lasse Hallström,Josh Gad --- K.J. Apa --- Britt Robertson --- Dennis Quaid --- Peggy Lipton --- Juliet Rylance --- Luke Kirby --- John Ortiz --- Kirby Howell-Baptiste --- Pooch Hall --- Logan Miller --- Gabrielle Rose --- Caroline Cave --- Nicole LaPlaca --- Michael Patric --- Michael Bofshever --- Primo Allon --- Kalyn Bomback --- Peter Kelamis --- Jane McGregor --- Kelly-Ruth Mercier --- Kwesi Ameyaw --- Paul Jarrett --- Anita Daher --- Alicia Johnston --- Naomi Frenette --- Brooke Warrington --- Bryce Gheisar --- Robert Mann --- Ron Verwymeren --- David J. Lyle --- Cory Wojcik --- Ross Douglas Noble --- Andrew W. Nolan --- Jordan Butterill --- John C. MacDonald --- Dean Monroe McKenzie --- Brent Holtzman --- Christopher Pearce --- Violet Haas --- Darcy Higginbotham --- Danesha Lee --- Dan De Jaeger --- Reine Lecuyer --- Rayna Ens-Armstrong --- Mackenzie Thornton --- Avery Thompson --- Aidan Ritchie --- Kenyan Alexander Walcot --- Treyton Augustus Walcot --- John Bluethner --- James Janssens --- Paul Griggs --- Grant Burr --- Tom Young --- Ronald Boyd Johnson --- Chris Webb --- Jim Kirby --- Evan Martin --- Tyson Wagner --- ,
Justice League,Zack Snyder,Ben Affleck --- Henry Cavill --- Gal Gadot --- Ezra Miller --- Jason Momoa --- Ray Fisher --- Ciarán Hinds --- Amy Adams --- Jeremy Irons --- Diane Lane --- Connie Nielsen --- J.K. Simmons --- Billy Crudup --- Joe Morton --- Amber Heard --- Michael McElhatton --- Joe Manganiello --- Jesse Eisenberg --- Robin Wright --- David Thewlis --- Julian Lewis Jones --- Marc McClure --- Lisa Loven Kongsli --- Holt McCallany --- Ingvar Eggert Sigurðsson --- Gemma Refoufi --- Kelly Burke --- Paulina Boneva --- Alexandra Ford --- Eleanor Matsuura --- Daniel Stisen --- Samantha Jo --- Sergi Constance --- Doutzen Kroes --- Dan Mersh --- Peter Vo --- ,
Thor: Ragnarok,Taika Waititi,Chris Hemsworth --- Tom Hiddleston --- Cate Blanchett --- Idris Elba --- Jeff Goldblum --- Tessa Thompson --- Karl Urban --- Mark Ruffalo --- Anthony Hopkins --- Taika Waititi --- Tadanobu Asano --- Ray Stevenson --- Zachary Levi --- Benedict Cumberbatch --- Rachel House --- Clancy Brown --- Scarlett Johansson --- Stan Lee --- Sam Neill --- Luke Hemsworth --- Matt Damon --- Charlotte Nicdao --- Georgia Blizzard --- Amali Golden --- Ashley Ricardo --- Shalom Brune-Franklin --- Taylor Hemsworth --- Cohen Holloway --- Alia Seror-O'Neill --- Sophia Laryea --- Stephen Oliver --- Hamish Parkinson --- Jasper Bagg --- Sky Castanho --- Shari Sebbens --- Richard Green --- Sol Castanho --- Jet Tranter --- Samantha Hopper --- Eloise Winestock --- Rob Mayes --- Tahlia Jade --- Winnie Mzembe --- Sean Edward Frazer --- Connor Zegenhagen --- Tracie Filmer --- Tracey Lee Maxwell --- Beatrice Ward --- Donnie Baxter --- Greta Carew-Johns --- Adam Green --- Mollie McGregor --- Sophia McGregor --- ,
Logan,James Mangold,Hugh Jackman --- Patrick Stewart --- Dafne Keen --- Boyd Holbrook --- Stephen Merchant --- Richard E. Grant --- Sienna Novikov --- Eriq La Salle --- Elise Neal --- Elizabeth Rodriguez --- Doris Morgado --- David Kallaway --- Han Soto --- Jayson Genao --- Krzysztof Soszynski --- Alison Fernandez --- Quincy Fouse --- Al Coronel --- Frank Gallegos --- Anthony Escobar --- Reynaldo Gallegos --- Stephen Dunlevy --- Daniel Bernhardt --- Ryan Sturz --- Brandon Melendy --- Luke Hawx --- Paul Andrew O'Connor --- Rocky Abou-Sakher --- Jean Claude Leuyer --- Jef Groff --- Jeremy Fitzgerald --- Chris Palermo --- Clinton Roberts --- Keith Jardine --- Andrew Arrabito --- Sebastian James --- Aaron Matthews --- Garrett Hammond --- Matt McClain --- Maureen Brennan --- Hannah Westerfield --- Bryant Tardy --- Ashlyn Casalegno --- Parker Lovein --- Jimmy Gonzales --- Lennie Loftin --- Mark Ashworth --- James Handy --- Bryce Romero --- Phi Vu --- Chester Rushing --- David Simpson --- Lauren Gros --- John Raymond --- Vanessa Cloke --- Katie Anne Mitchell --- Lara Grice --- James Moses Black --- Ned Yousef --- Baxter Humby --- Daniel Hernández --- Michael Lehr --- Bryan Sloyer --- John Bernecker --- Joe Williams --- Robert Wu --- Victor Winters-Junco --- Craig Henningsen --- Evan Dane Taylor --- Toby Holguin --- Panuvat Anthony Nanakornpanom --- Eyad Elbitar --- Rissa Rose Kilar --- Salef Celiz --- Aidan Kennedy --- Chase Cubia --- Vincenzo Lucatorto --- Haley Glass --- Nayah Murphy --- Emma Teo --- Noell Jellison --- Ella Rowbotham --- Hudson Wright --- Sebeon Jackson --- Kelton DuMont --- Damon Carney --- Cynthia Woods --- Mali O'Connor --- Robert Vargas --- David Paris --- Ted Ferguson --- Juan Gaspard --- Christopher Heskey --- Julia Holt --- Natosha Humphrey --- Lizeth Hutchings --- Donald M. Krause --- Justin Lebrun --- Gentry Lee --- Gonzalo Robles --- Daymond C. Roman --- Mary Peyton Stewart --- Michael Love Toliver --- Gregory Paul Valdez --- Dave Davis --- ,
Blade Runner 2049,Denis Villeneuve,Ryan Gosling --- Harrison Ford --- Ana de Armas --- Robin Wright --- Sylvia Hoeks --- Mackenzie Davis --- Jared Leto --- Carla Juri --- Lennie James --- Dave Bautista --- David Dastmalchian --- Barkhad Abdi --- Hiam Abbass --- Wood Harris --- Edward James Olmos --- Tómas Lemarquis --- Sallie Harmsen --- Sean Young --- Loren Peta --- Mark Arnold --- Krista Kosonen --- Elarica Johnson --- Kingston Taylor --- David Benson --- Ben Thompson --- Suzie Kennedy --- Stephen Triffitt --- Ellie Wright --- Vilma Szécsi --- Kincsö Sánta --- André Lukács Molnár --- István Göz --- Pál Nyári --- Joshua Tersoo Allagh --- Zoltán Béres --- Konstantin Pál --- Ferenc Györgyi --- Samuel Brown --- ,
Wonder Woman,Patty Jenkins,Gal Gadot --- Chris Pine --- Connie Nielsen --- Robin Wright --- Danny Huston --- David Thewlis --- Saïd Taghmaoui --- Ewen Bremner --- Eugene Brave Rock --- Lucy Davis --- Elena Anaya --- Lilly Aspell --- Lisa Loven Kongsli --- Ann Wolfe --- Ann Ogbomo --- Emily Carey --- James Cosmo --- Wolf Kahler --- Alexander Mercury --- Martin Bishop --- Flora Nicholson --- Pat Abernethy --- Freddy Elletson --- Sammy Hayman --- Michael Tantrum --- Philippe Spall --- Edward Wolstenholme --- Ian Hughes --- Marko Leht --- Steffan Rhodri --- Andrew Byron --- Dominic Kinnaird --- Rachel Pickup --- Ulli Ackermann --- Frank Allen Forbes --- Peter Stark --- Rainer Bock --- Josh Bromley --- Jennie Eggleton --- Eva Dabrowski --- Harvey James --- George Johnston --- Danielle Lewis --- Florence Kasumba --- Eleanor Matsuura --- Josette Simon --- Doutzen Kroes --- Hayley Warnes --- Caitlin Burles --- Jemma Moore --- Samantha Jo --- Brooke Ence --- Madeleine Vall --- Hari James --- Jacqui-Lee Pryce --- Betty Adewole --- Caroline Maria Winberg --- Lizzie Bowden --- Kattreya Scheurer-Smith --- Rekha Luther --- Thaina Oliveira --- Ooooota Adepo --- Zinnia Kumar --- Toma McDonagh --- Amber Doyle --- Freddy Carter --- Fred Fergus --- Tim Pritchett --- Gana Bayarsaikhan --- Camilla Roholm --- Stephanie Haymes-Roven --- Nia Burke --- Dee Lewis Clay --- Tori Letzler --- ,
Guardians of the Galaxy Vol. 2,James Gunn,Chris Pratt --- Zoe Saldana --- Dave Bautista --- Vin Diesel --- Bradley Cooper --- Michael Rooker --- Karen Gillan --- Pom Klementieff --- Elizabeth Debicki --- Chris Sullivan --- Sean Gunn --- Sylvester Stallone --- Kurt Russell --- Wyatt Oleff --- Laura Haddock --- Gregg Henry --- Seth Green --- Fred --- Evan Jones --- Jimmy Urine --- Stephen Blackehart --- Steve Agee --- Mike Escamilla --- Joe Fria --- Terence Rosemore --- Tommy Flanagan --- Richard Christy --- Michael Rosenbaum --- Ving Rhames --- Michelle Yeoh --- Miley Cyrus --- Stan Lee --- David Hasselhoff --- Rob Zombie --- Jeff Goldblum --- Ben Browder --- Jim Gunn Sr. --- Leota Gunn --- Hannah Gottesman --- Hilty Bowen --- Alexander Klein --- Luke Cook --- Blondy Baruti --- Kendra Carelli --- Milynn Sarley --- Sierra Love --- Molly C. Quinn --- Rhoda Griffis --- Mac Wells --- Elizabeth Ludlow --- Damita Jane Howard --- Donny Carrington --- Brian Clackley --- Nea Dune --- Fred Galle --- Stephen Vining --- Tahseen Ghauri --- Alphonso A'Qen-Aten Jackson --- Kelly Richardson --- Guillermo Rodriguez --- Josh Tipis --- Jason Williams --- Cheyanna Lavon Zubas --- Aaron Schwartz --- ,
Kong: Skull Island,Jordan Vogt-Roberts,Tom Hiddleston --- Samuel L. Jackson --- Brie Larson --- John Goodman --- John C. Reilly --- Jing Tian --- Toby Kebbell --- John Ortiz --- Corey Hawkins --- Jason Mitchell --- Shea Whigham --- Thomas Mann --- Eugene Cordero --- Will Brittain --- Richard Jenkins --- Marc Evan Jackson --- Thomas Middleditch --- Miyavi --- Allyn Rachel --- Robert Taylor --- James M. Connor --- Brady Novak --- Peter Karinen --- Brian Sacca --- Joshua Funk --- Garreth Hadfield --- Jon Quested --- Korey Williams --- Dat Phan --- Cynthy Wu --- Beth Kennedy --- Bryan Chojnowski --- Terry Notary --- ,
Christmas Wedding Planner,Justin G. Dyck,Jocelyn Hudon --- Stephen Huszar --- Kelly Rutherford --- Joey Fatone --- Rebecca Dalton --- Melinda Shankar --- ,
